"","term_name","genes","APA_effect"
"1","nuclear lumen","SPECC1",-3.4162688172043
"2","nuclear lumen","RPS6KA1",5.8134469273743
"3","nuclear lumen","CLK3",2.45741052631579
"4","nuclear lumen","DEDD",-13.2049449541284
"5","nuclear lumen","INTS13",1.64439655172414
"6","nuclear lumen","ETV6",2.57494017094017
"7","nuclear lumen","RIOX1",7.15940740740741
"8","nuclear lumen","MEX3B",1.79981451612903
"9","nuclear lumen","UQCRC2",2.12704950495049
"10","nuclear lumen","FEN1",4.31461184210526
"11","nuclear lumen","PNISR",-0.52151724137931
"12","nuclear lumen","ATXN7",-0.89154347826087
"13","nuclear lumen","TRA2A",4.39981538461538
"14","nuclear lumen","USF2",-0.597047999999999
"15","nuclear lumen","KDM2B",2.27852380952381
"16","nuclear lumen","PDHA1",-2.18873913043478
"17","nuclear lumen","EXTL2",1.6248137254902
"18","nuclear lumen","RELB",-3.97656198347107
"19","nuclear lumen","HOXA4",-2.52135294117647
"20","nuclear lumen","IQCB1",3.15711111111111
"21","nuclear lumen","SMARCD3",-1.1427265625
"22","nuclear lumen","RAN",1.03645637583893
"23","nuclear lumen","PIP4K2A",-1.61302830188679
"24","nuclear lumen","WDFY1",0.606083832335329
"25","nuclear lumen","DDB1",5.01763157894737
"26","nuclear lumen","NR2F6",0.872768595041322
"27","nuclear lumen","CCND3",7.12449056603773
"28","nuclear lumen","MDN1",0.160052631578947
"29","nuclear lumen","STK35",4.10355371900826
"30","nuclear lumen","CCDC106",0.208837209302326
"31","nuclear lumen","DDX49",6.36738461538462
"32","nuclear lumen","KLHDC2",-2.19448905109489
"33","nuclear lumen","PAPOLG",2.60093373493976
"34","nuclear lumen","PAFAH1B2",2.25670833333333
"35","nuclear lumen","BRAT1",4.42427358490566
"36","nuclear lumen","MYCBP",-1.96327118644068
"37","nuclear lumen","MRPL10",1.50116666666667
"38","nuclear lumen","LYRM1",0.756763157894737
"39","nuclear lumen","ZMYND8",1.73054455445545
"40","nuclear lumen","ARL4A",1.07961764705882
"41","nuclear lumen","NDUFB4",2.43389102564103
"42","nuclear lumen","MNX1",1.3237641509434
"43","nuclear lumen","DDX55",3.82707482993197
"44","nuclear lumen","KEL",0.401972727272727
"45","nuclear lumen","MRPL58",4.05040963855422
"46","nuclear lumen","PHAX",-6.67290434782609
"47","nuclear lumen","SRSF5",4.95079207920792
"48","nuclear lumen","PDCD6",4.2508220338983
"49","nuclear lumen","PROX1",-3.03971559633027
"50","nuclear lumen","ID1",7.06989108910891
"51","nuclear lumen","UBE2D3",2.25707818930041
"52","nuclear lumen","NIP7",8.27125454545454
"53","nuclear lumen","EGLN2",-1.47025196850394
"54","nuclear lumen","MED6",1.73226993865031
"55","nuclear lumen","ETV3",1.64311875
"56","nuclear lumen","GPI",2.03670297029703
"57","nuclear lumen","ZHX1",2.17730630630631
"58","nuclear lumen","UTRN",-4.75834745762712
"59","nuclear lumen","PHF13",-1.96780582524272
